Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
District Attorney,SENIOR ASST DISTRICT ATTY,Management,46874.6,0.0,0.0,48191.02,2014/08/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2400.0,0.0,0.0,2400.0,2022/05/01 00:00:00+00,0.0,
Medical Examiners Office,MEDICAL FORENSIC INVESTIGATOR,Association of Municipal Employees (AME-White Collar),116946.39,0.0,0.0,128275.35,2013/04/15 00:00:00+00,0.0,
County Clerk,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),51565.8,0.0,9404.96,61700.18,2013/02/13 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1822.14,0.0,0.0,1822.14,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ASSISTANT ELECTION CLERK 5,Board of Elections,52638.0,0.0,17095.71,69846.13,2019/10/16 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,9775.0,54267.29,239631.79,2007/12/26 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER II,Correction Officers Association (COA),125452.23,1950.0,32097.93,172712.77,2011/04/25 00:00:00+00,0.0,
Law,ADMINISTRATIVE ASSISTANT,Association of Municipal Employees (AME-White Collar),72939.21,1750.0,0.0,78445.63,2005/10/03 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2625.0,0.0,0.0,2625.0,2022/07/05 00:00:00+00,0.0,
Parks,PARK RANGER II (PT/SEASONAL),Temp,19775.0,0.0,675.0,20450.0,2022/06/21 00:00:00+00,0.0,2022/10/30 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2047.5,0.0,0.0,2047.5,2022/07/01 00:00:00+00,0.0,2021/08/14 00:00:00+00
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),15935.03,0.0,119.1,17902.05,2013/05/08 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,16675.0,33061.81,225326.31,2003/10/20 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR CREW LEADER (35 HOUR),Association of Municipal Employees (AME-Blue Collar),60657.0,2400.0,0.0,66459.42,1995/11/06 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,856.25,0.0,0.0,856.25,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),54092.4,0.0,130.24,69282.44,2021/03/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3863.75,0.0,0.0,3863.75,2022/05/01 00:00:00+00,0.0,
County Clerk,SR DEPUTY COUNTY CLERK,Management,113295.01,2250.0,0.0,125936.43,2002/06/17 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),151362.63,18975.0,17912.5,198641.53,1987/09/14 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1588.13,0.0,0.0,1588.13,2022/05/01 00:00:00+00,0.0,
Health Services,PSYCHIATRIC SOCIAL WORKER,Association of Municipal Employees (AME-White Collar),49314.4,1125.0,0.0,66871.66,2002/07/08 00:00:00+00,12250.74,2022/07/28 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1248.13,0.0,0.0,1248.13,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,852.5,0.0,0.0,852.5,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.84,1250.0,0.0,68792.26,2010/06/01 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),160763.6,9775.0,37650.41,231950.83,2005/09/12 00:00:00+00,0.0,
Probation,PROBATION SUPERVISOR,Probation Officers Association (POA),112876.08,2250.0,0.0,121274.46,1998/11/16 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,895.26,0.0,0.0,895.26,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),101552.38,4025.0,43892.53,168928.03,2015/09/14 00:00:00+00,0.0,
Health Services,CHEMIST I (PUBLIC HEALTH),Association of Municipal Employees (AME-White Collar),52702.03,0.0,343.97,53761.42,2018/04/30 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),190266.95,17250.0,25425.65,257743.62,1993/12/06 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1155.0,0.0,0.0,1155.0,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2550.0,0.0,0.0,2550.0,2022/06/27 00:00:00+00,0.0,
County Executive,CASEWORKER,Association of Municipal Employees (AME-White Collar),63047.2,0.0,217.65,64091.27,2014/10/06 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),145994.8,8625.0,6194.05,182245.25,2007/12/10 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORD ASSISTNT,Temp,6331.25,0.0,0.0,6331.25,2022/06/18 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),36081.09,3750.0,2562.3,55221.15,1997/05/05 00:00:00+00,5301.51,2022/05/06 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),47771.1,0.0,1481.02,57408.62,2021/10/25 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),48554.5,1750.0,566.48,54316.4,2005/05/23 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,616.25,0.0,0.0,616.25,2022/09/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,3250.0,70057.73,197866.34,2001/09/03 00:00:00+00,0.0,
Public Works,BLDG MAINTENANCE MANAGER,Association of Municipal Employees (AME-White Collar),89538.96,2250.0,72086.69,169749.07,1998/06/01 00:00:00+00,0.0,
Public Works,PRINCIPAL ACCOUNTANT,Association of Municipal Employees (AME-White Collar),97183.8,1750.0,797.4,104753.62,2007/04/02 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,796.92,53804.63,2021/12/06 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,3137.5,0.0,0.0,3137.5,2021/11/23 00:00:00+00,0.0,
Information Technology Service,SR BUSINESS INTEL SYSTEMS DEVL,Association of Municipal Employees (AME-White Collar),92396.4,0.0,0.0,93576.82,2016/02/08 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,852.5,0.0,0.0,852.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,912.5,0.0,0.0,912.5,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),70272.5,0.0,3414.93,90481.61,2018/10/15 00:00:00+00,0.0,
Social Services,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),55341.18,1250.0,0.0,57319.6,2010/04/26 00:00:00+00,0.0,
Social Services,CHILD SUPPORT SPCLST II,Association of Municipal Employees (AME-White Collar),78659.39,1750.0,0.0,84522.81,2006/04/03 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2647.5,0.0,0.0,2647.5,2022/07/11 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),181833.5,9200.0,71466.97,289475.15,2006/09/11 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,1250.0,0.0,70086.22,2009/09/14 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,Probation Officers Association (POA),99801.64,2400.0,11332.8,114234.44,1996/06/17 00:00:00+00,0.0,
Medical Examiners Office,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),54510.4,1250.0,10036.66,66520.48,2006/08/07 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),162959.7,12075.0,58179.52,257109.2,2001/06/04 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),92201.63,1250.0,0.0,94151.63,2005/10/31 00:00:00+00,0.0,
Legislature,LEGISLATIVE AIDE I,Management,54773.8,0.0,0.0,54886.22,2022/01/01 00:00:00+00,0.0,
Civil Service,DIR OF MANAGEMENT AND RESEARCH,Association of Municipal Employees (AME-White Collar),146629.79,0.0,0.0,146742.21,2021/05/17 00:00:00+00,0.0,
Audit & Control,AUDITOR,Association of Municipal Employees (AME-White Collar),52789.65,0.0,6505.15,59407.22,2019/08/26 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,635.26,0.0,0.0,635.26,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1840.0,0.0,0.0,1840.0,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),70010.2,0.0,36071.13,129761.81,2018/10/15 00:00:00+00,0.0,
District Attorney,SENIOR ASST DISTRICT ATTY,Management,97520.0,0.0,0.0,105151.38,2013/10/07 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,8625.0,77643.14,261857.64,2007/12/26 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORD ASSISTNT,Temp,400.0,0.0,0.0,400.0,2022/10/28 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,824.38,0.0,0.0,824.38,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,9775.0,107482.88,286223.38,2010/06/28 00:00:00+00,0.0,
Police,PUBL RELATIONS SPECIALIST,Association of Municipal Employees (AME-White Collar),69290.5,0.0,8562.16,84110.67,2017/05/15 00:00:00+00,0.0,
Police,PHYSICIAN III,Association of Municipal Employees (AME-White Collar),87865.11,1750.0,0.0,94346.76,2005/01/31 00:00:00+00,0.0,
District Attorney,DISTRICT ATTORNEY INVESTIGATOR,Suffolk Detective Investigators (DIPBA),25157.25,0.0,2961.69,28318.94,2022/08/29 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,8921.1,0.0,0.0,8921.1,2023/02/21 00:00:00+00,0.0,2022/08/10 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2475.0,0.0,0.0,2475.0,2021/06/28 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1950.0,92953.23,220170.94,2008/01/28 00:00:00+00,0.0,
Information Technology Service,WEBSITE MANAGER,Association of Municipal Employees (AME-White Collar),55263.4,0.0,2851.8,58227.62,2020/02/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1225.0,0.0,0.0,1225.0,2022/05/01 00:00:00+00,0.0,
Parks,ASST DIR OF HISTORIC SVCS,Association of Municipal Employees (AME-White Collar),83700.8,2250.0,356.78,90602.0,1998/11/30 00:00:00+00,0.0,
Probation,PROBATION SUPERVISOR,Probation Officers Association (POA),112875.0,2400.0,0.0,122778.52,1994/05/23 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),12452.64,0.0,78.75,13547.31,2021/04/14 00:00:00+00,0.0,
Police,INSPECTOR (POLICE),Superior Officers Association (SOA),235474.66,19825.0,8055.9,279711.68,1991/10/21 00:00:00+00,0.0,
Social Services,CASEWORKER (SPANISH SPKG),Association of Municipal Employees (AME-White Collar),63047.2,0.0,0.0,63873.62,1999/03/22 00:00:00+00,0.0,
Information Technology Service,OFFICE ASSISTANT,Temp,21373.5,0.0,0.0,21373.5,2021/02/02 00:00:00+00,0.0,
Health Services,ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),37539.0,0.0,6442.33,44093.75,2019/08/26 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER I,Association of Municipal Employees (AME-Blue Collar),35265.0,0.0,0.0,35627.42,2019/10/21 00:00:00+00,0.0,
Health Services,COORD OF COMM BASED PROGS,Association of Municipal Employees (AME-White Collar),72387.79,1250.0,0.0,74608.21,2015/05/18 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),22721.29,1458.33,365.12,28004.59,2003/08/27 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,1250.0,0.0,70086.22,2009/09/14 00:00:00+00,0.0,
Police,EMERGENCY COMPLAINT OPER,Association of Municipal Employees (AME-White Collar),41427.02,0.0,1700.55,46394.22,2016/03/07 00:00:00+00,0.0,
County Executive,PRIN FED,Association of Municipal Employees (AME-White Collar),111540.31,2250.0,10832.84,130320.57,1998/10/19 00:00:00+00,0.0,
District Attorney,DEPUTY BUREAU CHIEF,Management,170456.8,1750.0,0.0,188027.22,2003/03/03 00:00:00+00,0.0,
District Attorney,ASST SPECIAL INVESTIGATOR,Suffolk Detective Investigators (DIPBA),45695.0,0.0,15705.4,61600.4,2022/08/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,30332.75,139184.79,2016/10/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,693.13,0.0,0.0,693.13,2022/05/01 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I (INVEST),Deputy Sheriffs PBA (DSPBA),115009.73,2750.0,58500.66,192271.31,2006/09/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,861.25,0.0,0.0,861.25,2022/05/01 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),91035.61,3450.0,17690.57,130979.35,2016/09/06 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Social Services,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60657.0,1750.0,0.0,65549.42,2006/11/27 00:00:00+00,0.0,
Health Services,SR PSYCHIATRIC SOC WORKER,Association of Municipal Employees (AME-White Collar),80555.79,1250.0,483.45,86499.66,2008/05/19 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,,99800.22,2250.0,11857.32,114607.54,2000/06/19 00:00:00+00,0.0,
Health Services,PSYCHIATRIC SOCIAL WORKER,Association of Municipal Employees (AME-White Collar),8914.2,0.0,0.0,8914.2,2017/10/10 00:00:00+00,0.0,2022/12/06 00:00:00+00
District Attorney,PRINCIPAL ASST DIST ATTY,Management,143482.6,1750.0,0.0,158572.02,2006/08/07 00:00:00+00,0.0,
District Attorney,SENIOR ASST DISTRICT ATTY,Management,100388.63,1250.0,0.0,107314.05,2011/08/08 00:00:00+00,0.0,
Police,TAILOR,Association of Municipal Employees (AME-Blue Collar),48171.8,0.0,15997.01,64531.23,2019/10/15 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,667.76,0.0,0.0,667.76,2022/05/01 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH SANITARIAN,Association of Municipal Employees (AME-White Collar),62163.22,0.0,947.26,63792.9,2018/05/29 00:00:00+00,0.0,
District Attorney,SENIOR ASST DISTRICT ATTY,Management,110842.8,1250.0,0.0,124297.18,2011/08/15 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),53149.0,0.0,7764.4,75987.96,2021/04/12 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH FELLOW II,Association of Municipal Employees (AME-White Collar),30846.2,0.0,41.51,31000.13,2022/05/31 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),14790.85,1041.67,110.88,17870.36,2009/03/11 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,17460.0,0.0,528.75,17988.75,2022/08/29 00:00:00+00,0.0,2022/09/22 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),110488.8,5175.0,48021.31,183953.05,2013/10/28 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,859.38,0.0,0.0,859.38,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,1750.0,3673.41,75543.63,2003/07/21 00:00:00+00,0.0,
Economic Develop & Planning,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),20844.0,583.33,0.0,42381.18,2007/04/16 00:00:00+00,17961.58,2022/04/29 00:00:00+00
Parks,AUTO EQUIPMENT OPERATOR,Association of Municipal Employees (AME-Blue Collar),37140.8,1250.0,282.46,39600.68,2018/03/05 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),47771.1,0.0,850.39,56777.99,2021/10/25 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),22743.72,0.0,5997.94,31672.56,2022/05/23 00:00:00+00,0.0,
"Labor, License & Consumer Affairs","ASST TO COMM OF LABOR, LIC &CA",Management,93441.89,2250.0,0.0,104460.31,1999/04/19 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,570.0,0.0,0.0,570.0,2022/07/05 00:00:00+00,0.0,2021/08/28 00:00:00+00
County Executive,BUDGET ANALYST,Association of Municipal Employees (AME-White Collar),70735.6,0.0,0.0,71653.02,2017/07/10 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,268.0,0.0,0.0,268.0,2022/03/26 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1950.0,54949.26,180461.35,2008/01/28 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM II,Association of Municipal Employees (AME-White Collar),76344.4,2250.0,0.0,82529.82,2002/03/18 00:00:00+00,0.0,
Economic Develop & Planning,ASST TO THE COMM OF ECON DEV&P,Management,55447.9,0.0,0.0,55447.9,2019/01/28 00:00:00+00,0.0,2022/07/15 00:00:00+00
Police,PHYSICIAN III,Association of Municipal Employees (AME-White Collar),19156.81,0.0,0.0,19492.81,2016/12/09 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,Probation Officers Association (POA),99806.9,2400.0,26106.85,129013.75,1996/05/29 00:00:00+00,0.0,
Social Services,SENIOR ASSETS ANALYST,Association of Municipal Employees (AME-White Collar),87001.99,1750.0,0.0,93211.41,2003/08/18 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),44267.11,3750.0,65581.72,202972.22,1997/05/05 00:00:00+00,76587.46,2022/05/14 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),78612.3,0.0,3425.56,105981.25,2017/10/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1697.5,0.0,0.0,1697.5,2022/05/01 00:00:00+00,0.0,
Social Services,SOC SER EXAM I (SP SPKG),Association of Municipal Employees (AME-White Collar),52651.98,0.0,616.77,53975.17,2011/06/06 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),37193.43,0.0,5340.36,45574.49,2021/12/06 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,845.0,0.0,0.0,845.0,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,27976.87,131865.4,2016/10/03 00:00:00+00,0.0,
Legislature,LEGISLATIVE AIDE II,Management,91693.8,1250.0,0.0,97452.82,2010/01/04 00:00:00+00,0.0,
Parks,SENIOR LIFEGUARD,Smith Point Lifeguard Association,9192.88,0.0,0.0,9192.88,2022/04/25 00:00:00+00,0.0,2022/09/23 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1163.63,0.0,0.0,1163.63,2022/05/01 00:00:00+00,0.0,
Health Services,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),43790.0,0.0,2510.2,46908.62,2013/11/25 00:00:00+00,0.0,
County Clerk,Vested,,34661.99,433.33,0.0,51112.37,2022/05/01 00:00:00+00,0.0,2022/03/04 00:00:00+00
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),14532.53,0.0,107.47,16529.4,2012/03/14 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),13348.81,0.0,0.0,13965.13,2022/03/11 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,180.0,0.0,0.0,180.0,2022/05/21 00:00:00+00,0.0,
Police,COMMUNICATIONS MECH II,Association of Municipal Employees (AME-Blue Collar),63710.6,2250.0,21304.47,99609.42,2002/07/29 00:00:00+00,0.0,
Social Services,CHILD SUPPORT SPCLST I,Association of Municipal Employees (AME-White Collar),39811.21,0.0,0.0,39923.63,2021/10/25 00:00:00+00,0.0,
Police,MARINE MECHANIC,Association of Municipal Employees (AME-Blue Collar),79905.6,1250.0,5080.43,87896.45,2009/12/21 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),34451.92,0.0,0.0,34564.34,2022/03/28 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),173216.1,15525.0,8545.42,229873.54,1995/10/30 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),11934.0,0.0,649.74,12583.74,2022/10/03 00:00:00+00,0.0,
District Attorney,PARALEGAL,Association of Municipal Employees (AME-White Collar),46016.21,0.0,0.0,46128.63,2020/01/27 00:00:00+00,0.0,
Parks,PARK ATTENDANT II (PT),Temp,20840.42,0.0,0.0,20840.42,2023/01/02 00:00:00+00,0.0,2022/12/18 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,9376.5,0.0,573.75,9950.25,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Civil Service,ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),36720.0,0.0,0.0,36832.42,2021/04/19 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),151749.21,9775.0,16743.98,200754.25,2007/12/26 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164469.8,13800.0,46444.45,248698.71,2000/09/18 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),71029.76,0.0,42446.57,130270.51,2018/10/15 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),37193.43,0.0,1122.4,41356.53,2021/12/06 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),63526.8,0.0,29394.87,110638.63,2019/09/09 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62671.8,0.0,23704.98,102714.76,2019/10/21 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),73559.3,3450.0,5104.39,120580.43,2016/10/03 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),15644.15,1041.67,117.86,19067.84,2009/03/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1945.0,0.0,0.0,1945.0,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),50312.81,0.0,7.02,50911.25,2010/08/30 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),100524.92,4025.0,13678.15,138031.02,2015/09/14 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),78123.3,0.0,13534.88,108940.88,2017/10/23 00:00:00+00,0.0,
